Tract,Average,nVoxels
ACR-L,0.485812,1569
ACR-R,0.488978,1560
ALIC-L,0.586476,719
ALIC-R,0.590188,791
AverageFA,0.422199,117137
BCC,0.663148,3173
CGC,0.524075,594
CGC-L,0.536618,307
CGC-R,0.510658,287
CR,0.491865,7344
CR-L,0.48406,3608
CR-R,0.499403,3736
CST,0.56942,642
CST-L,0.582898,332
CST-R,0.554985,310
EC,0.416202,2896
EC-L,0.413932,1445
EC-R,0.418462,1451
FX,0.425011,222
GCC,0.718824,1834
IC,0.618486,4781
IC-L,0.61895,2328
IC-R,0.618046,2453
IFO,0.485877,88
IFO-L,0.452013,40
IFO-R,0.514097,48
PCR-L,0.487878,677
PCR-R,0.524831,760
PLIC-L,0.679327,883
PLIC-R,0.695213,892
PTR,0.554986,1987
PTR-L,0.563192,978
PTR-R,0.547033,1009
RLIC-L,0.577677,726
RLIC-R,0.557271,770
SCC,0.734764,2311
SCR-L,0.480143,1362
SCR-R,0.497241,1416
SFO,0.487585,193
SFO-L,0.485815,95
SFO-R,0.489301,98
SLF,0.481509,3503
SLF-L,0.484056,1733
SLF-R,0.479015,1770
SS,0.496129,1294
SS-L,0.52224,648
SS-R,0.469938,646
UNC-L,0.580811,51
UNC-R,0.62774,74
