Tract,Average,nVoxels
AverageFA,0.419575,117139
GCC,0.640474,1834
BCC,0.621764,3173
SCC,0.729848,2311
FX,0.396458,222
CST-R,0.619708,310
CST-L,0.638815,332
ML-R,0.548974,190
ML-L,0.56377,172
ICP-R,0.482192,254
ICP-L,0.470913,239
SCP-R,0.575624,238
SCP-L,0.595996,236
CP-R,0.676261,572
CP-L,0.693382,528
ALIC-R,0.562346,791
ALIC-L,0.548971,719
PLIC-R,0.707406,892
PLIC-L,0.700367,883
RLIC-R,0.607618,770
RLIC-L,0.616748,726
ACR-R,0.450805,1560
ACR-L,0.446034,1569
SCR-R,0.488163,1416
SCR-L,0.516437,1362
PCR-R,0.488976,760
PCR-L,0.502661,677
PTR-R,0.558215,1009
PTR-L,0.59173,978
SS-R,0.543932,646
SS-L,0.546679,648
EC-R,0.446766,1451
EC-L,0.423944,1445
CGC-R,0.519553,287
CGC-L,0.594916,307
CGH-R,0.491836,261
CGH-L,0.499102,263
FX/ST-R,0.487513,310
FX/ST-L,0.512123,396
SLF-R,0.480973,1770
SLF-L,0.505944,1733
SFO-R,0.466141,98
SFO-L,0.506388,95
IFO-R,0.513741,48
IFO-L,0.470535,40
UNC-R,0.518207,74
UNC-L,0.485125,51
