Tract,Average,nVoxels
ACR-L,0.34679,1569
ACR-R,0.381547,1560
ALIC-L,0.491776,719
ALIC-R,0.499618,791
AverageFA,0.349808,117129
BCC,0.529843,3173
CGC,0.450621,594
CGC-L,0.466735,307
CGC-R,0.433384,287
CR,0.416819,7344
CR-L,0.402786,3608
CR-R,0.430371,3736
CST,0.480195,642
CST-L,0.488743,332
CST-R,0.47104,310
EC,0.36506,2896
EC-L,0.354783,1445
EC-R,0.375295,1451
FX,0.261083,222
GCC,0.575965,1834
IC,0.570869,4781
IC-L,0.566445,2328
IC-R,0.575067,2453
IFO,0.465789,88
IFO-L,0.414315,40
IFO-R,0.508684,48
PCR-L,0.403608,677
PCR-R,0.428119,760
PLIC-L,0.677493,883
PLIC-R,0.684047,892
PTR,0.470349,1987
PTR-L,0.461165,978
PTR-R,0.479251,1009
RLIC-L,0.505332,726
RLIC-R,0.526326,770
SCC,0.593602,2311
SCR-L,0.466884,1362
SCR-R,0.485368,1416
SFO,0.436944,193
SFO-L,0.431934,95
SFO-R,0.4418,98
SLF,0.427381,3503
SLF-L,0.430093,1733
SLF-R,0.424725,1770
SS,0.43472,1294
SS-L,0.439362,648
SS-R,0.430064,646
UNC-L,0.324548,51
UNC-R,0.385267,74
