Tract,Average,nVoxels
AverageFA,0.374712,117131
GCC,0.600562,1834
BCC,0.548157,3173
SCC,0.652652,2311
FX,0.298008,222
CST-R,0.482008,310
CST-L,0.493019,332
ML-R,0.544325,190
ML-L,0.562913,172
ICP-R,0.461844,254
ICP-L,0.493354,239
SCP-R,0.574995,238
SCP-L,0.579811,236
CP-R,0.591573,572
CP-L,0.605021,528
ALIC-R,0.512843,791
ALIC-L,0.501112,719
PLIC-R,0.610529,892
PLIC-L,0.618821,883
RLIC-R,0.555091,770
RLIC-L,0.571146,726
ACR-R,0.395158,1560
ACR-L,0.441556,1569
SCR-R,0.461728,1416
SCR-L,0.48342,1362
PCR-R,0.457665,760
PCR-L,0.46514,677
PTR-R,0.46653,1009
PTR-L,0.515207,978
SS-R,0.50811,646
SS-L,0.509432,648
EC-R,0.389454,1451
EC-L,0.405579,1445
CGC-R,0.488645,287
CGC-L,0.491215,307
CGH-R,0.464688,261
CGH-L,0.490496,263
FX/ST-R,0.481638,310
FX/ST-L,0.479532,396
SLF-R,0.454215,1770
SLF-L,0.4651,1733
SFO-R,0.468406,98
SFO-L,0.42362,95
IFO-R,0.444589,48
IFO-L,0.423826,40
UNC-R,0.455117,74
UNC-L,0.48674,51
